Freq.	V(vout)
1.81970085860998e-001	(1.88360413036072e+001dB,9.05017659344015e+001°)
1.86208713666287e-001	(1.86360562951775e+001dB,9.04903443160626e+001°)
1.90546071796325e-001	(1.84360706120950e+001dB,9.04791826339710e+001°)
1.94984459975804e-001	(1.82360842847212e+001dB,9.04682749734455e+001°)
1.99526231496888e-001	(1.80360973420517e+001dB,9.04576155542642e+001°)
2.04173794466953e-001	(1.78361098117773e+001dB,9.04471987276149e+001°)
2.08929613085404e-001	(1.76361217203432e+001dB,9.04370189731141e+001°)
2.13796208950223e-001	(1.74361330930044e+001dB,9.04270708958932e+001°)
2.18776162394955e-001	(1.72361439538798e+001dB,9.04173492237503e+001°)
2.23872113856834e-001	(1.70361543260029e+001dB,9.04078488043662e+001°)
2.29086765276777e-001	(1.68361642313711e+001dB,9.03985646025833e+001°)
2.34422881531992e-001	(1.66361736909918e+001dB,9.03894916977462e+001°)
2.39883291901949e-001	(1.64361827249273e+001dB,9.03806252811015e+001°)
2.45470891568503e-001	(1.62361913523371e+001dB,9.03719606532570e+001°)
2.51188643150958e-001	(1.60361995915189e+001dB,9.03634932216983e+001°)
2.57039578276886e-001	(1.58362074599468e+001dB,9.03552184983612e+001°)
2.63026799189538e-001	(1.56362149743088e+001dB,9.03471320972591e+001°)
2.69153480392691e-001	(1.54362221505422e+001dB,9.03392297321643e+001°)
2.75422870333816e-001	(1.52362290038671e+001dB,9.03315072143412e+001°)
2.81838293126445e-001	(1.50362355488187e+001dB,9.03239604503315e+001°)
2.88403150312660e-001	(1.48362417992785e+001dB,9.03165854397889e+001°)
2.95120922666638e-001	(1.46362477685032e+001dB,9.03093782733630e+001°)
3.01995172040201e-001	(1.44362534691532e+001dB,9.03023351306315e+001°)
3.09029543251359e-001	(1.42362589133194e+001dB,9.02954522780785e+001°)
3.16227766016838e-001	(1.40362641125486e+001dB,9.02887260671196e+001°)
3.23593656929628e-001	(1.38362690778683e+001dB,9.02821529321703e+001°)
3.31131121482591e-001	(1.36362738198097e+001dB,9.02757293887599e+001°)
3.38844156139202e-001	(1.34362783484303e+001dB,9.02694520316867e+001°)
3.46736850452531e-001	(1.32362826733355e+001dB,9.02633175332159e+001°)
3.54813389233575e-001	(1.30362868036983e+001dB,9.02573226413180e+001°)
3.63078054770101e-001	(1.28362907482791e+001dB,9.02514641779471e+001°)
3.71535229097172e-001	(1.26362945154446e+001dB,9.02457390373586e+001°)
3.80189396320561e-001	(1.24362981131848e+001dB,9.02401441844645e+001°)
3.89045144994280e-001	(1.22363015491307e+001dB,9.02346766532267e+001°)
3.98107170553497e-001	(1.20363048305700e+001dB,9.02293335450861e+001°)
4.07380277804112e-001	(1.18363079644628e+001dB,9.02241120274278e+001°)
4.16869383470335e-001	(1.16363109574560e+001dB,9.02190093320812e+001°)
4.26579518801592e-001	(1.14363138158981e+001dB,9.02140227538534e+001°)
4.36515832240165e-001	(1.12363165458518e+001dB,9.02091496490968e+001°)
4.46683592150962e-001	(1.10363191531075e+001dB,9.02043874343088e+001°)
4.57088189614874e-001	(1.08363216431954e+001dB,9.01997335847635e+001°)
4.67735141287197e-001	(1.06363240213970e+001dB,9.01951856331737e+001°)
4.78630092322638e-001	(1.04363262927567e+001dB,9.01907411683845e+001°)
4.89778819368445e-001	(1.02363284620921e+001dB,9.01863978340961e+001°)
5.01187233627271e-001	(1.00363305340046e+001dB,9.01821533276145e+001°)
5.12861383991364e-001	(9.83633251288881e+000dB,9.01780053986327e+001°)
5.24807460249772e-001	(9.63633440294211e+000dB,9.01739518480378e+001°)
5.37031796370252e-001	(9.43633620817343e+000dB,9.01699905267458e+001°)
5.49540873857624e-001	(9.23633793241180e+000dB,9.01661193345633e+001°)
5.62341325190348e-001	(9.03633957931448e+000dB,9.01623362190743e+001°)
5.75439937337156e-001	(8.83634115237467e+000dB,9.01586391745527e+001°)
5.88843655355588e-001	(8.63634265492897e+000dB,9.01550262408998e+001°)
6.02559586074357e-001	(8.43634409016443e+000dB,9.01514955026053e+001°)
6.16595001861481e-001	(8.23634546112531e+000dB,9.01480450877321e+001°)
6.30957344480192e-001	(8.03634677071955e+000dB,9.01446731669247e+001°)
6.45654229034654e-001	(7.83634802172490e+000dB,9.01413779524396e+001°)
6.60693448007595e-001	(7.63634921679488e+000dB,9.01381576971974e+001°)
6.76082975391981e-001	(7.43635035846434e+000dB,9.01350106938576e+001°)
6.91830970918935e-001	(7.23635144915487e+000dB,9.01319352739133e+001°)
7.07945784384137e-001	(7.03635249117994e+000dB,9.01289298068070e+001°)
7.24435960074989e-001	(6.83635348674980e+000dB,9.01259926990663e+001°)
7.41310241300916e-001	(6.63635443797613e+000dB,9.01231223934595e+001°)
7.58577575029182e-001	(6.43635534687660e+000dB,9.01203173681703e+001°)
7.76247116628690e-001	(6.23635621537908e+000dB,9.01175761359908e+001°)
7.94328234724280e-001	(6.03635704532575e+000dB,9.01148972435336e+001°)
8.12830516164098e-001	(5.83635783847702e+000dB,9.01122792704612e+001°)
8.31763771102669e-001	(5.63635859651526e+000dB,9.01097208287334e+001°)
8.51138038202375e-001	(5.43635932104834e+000dB,9.01072205618713e+001°)
8.70963589956079e-001	(5.23636001361308e+000dB,9.01047771442383e+001°)
8.91250938133744e-001	(5.03636067567849e+000dB,9.01023892803376e+001°)
9.12010839355908e-001	(4.83636130864888e+000dB,9.01000557041253e+001°)
9.33254300796989e-001	(4.63636191386685e+000dB,9.00977751783393e+001°)
9.54992586021434e-001	(4.43636249261615e+000dB,9.00955464938434e+001°)
9.77237220955809e-001	(4.23636304612437e+000dB,9.00933684689867e+001°)
9.99999999999998e-001	(4.03636357556556e+000dB,9.00912399489767e+001°)
1.02329299228075e+000	(3.83636408206273e+000dB,9.00891598052672e+001°)
1.04712854805090e+000	(3.63636456669022e+000dB,9.00871269349606e+001°)
1.07151930523760e+000	(3.43636503047599e+000dB,9.00851402602224e+001°)
1.09647819614318e+000	(3.23636547440377e+000dB,9.00831987277106e+001°)
1.12201845430196e+000	(3.03636589941520e+000dB,9.00813013080165e+001°)
1.14815362149688e+000	(2.83636630641177e+000dB,9.00794469951200e+001°)
1.17489755493953e+000	(2.63636669625678e+000dB,9.00776348058552e+001°)
1.20226443461741e+000	(2.43636706977713e+000dB,9.00758637793897e+001°)
1.23026877081238e+000	(2.23636742776510e+000dB,9.00741329767156e+001°)
1.25892541179416e+000	(2.03636777098004e+000dB,9.00724414801508e+001°)
1.28824955169313e+000	(1.83636810014993e+000dB,9.00707883928532e+001°)
1.31825673855640e+000	(1.63636841597301e+000dB,9.00691728383451e+001°)
1.34896288259165e+000	(1.43636871911915e+000dB,9.00675939600484e+001°)
1.38038426460288e+000	(1.23636901023139e+000dB,9.00660509208303e+001°)
1.41253754462275e+000	(1.03636928992719e+000dB,9.00645429025601e+001°)
1.44543977074592e+000	(8.36369558799831e-001dB,9.00630691056748e+001°)
1.47910838816820e+000	(6.36369817419629e-001dB,9.00616287487555e+001°)
1.51356124843620e+000	(4.36370066335141e-001dB,9.00602210681132e+001°)
1.54881661891248e+000	(2.36370306074355e-001dB,9.00588453173837e+001°)
1.58489319246111e+000	(3.63705371457914e-002dB,9.00575007671322e+001°)
1.62181009735892e+000	(-1.63629239960424e-001dB,9.00561867044661e+001°)
1.65958690743756e+000	(-3.63629024771500e-001dB,9.00549024326576e+001°)
1.69824365246174e+000	(-5.63628816830999e-001dB,9.00536472707738e+001°)
1.73780082874937e+000	(-7.63628615697850e-001dB,9.00524205533162e+001°)
1.77827941003892e+000	(-9.63628420945418e-001dB,9.00512216298674e+001°)
1.81970085860998e+000	(-1.16362823216061e+000dB,9.00500498647464e+001°)
1.86208713666286e+000	(-1.36362804894301e+000dB,9.00489046366717e+001°)
1.90546071796324e+000	(-1.56362787090396e+000dB,9.00477853384320e+001°)
1.94984459975804e+000	(-1.76362769766582e+000dB,9.00466913765639e+001°)
1.99526231496887e+000	(-1.96362752886115e+000dB,9.00456221710374e+001°)
2.04173794466952e+000	(-2.16362736413187e+000dB,9.00445771549487e+001°)
2.08929613085403e+000	(-2.36362720312858e+000dB,9.00435557742191e+001°)
2.13796208950223e+000	(-2.56362704550977e+000dB,9.00425574873015e+001°)
2.18776162394955e+000	(-2.76362689094111e+000dB,9.00415817648936e+001°)
2.23872113856833e+000	(-2.96362673909473e+000dB,9.00406280896565e+001°)
2.29086765276777e+000	(-3.16362658964856e+000dB,9.00396959559412e+001°)
2.34422881531991e+000	(-3.36362644228559e+000dB,9.00387848695199e+001°)
2.39883291901948e+000	(-3.56362629669325e+000dB,9.00378943473245e+001°)
2.45470891568502e+000	(-3.76362615256272e+000dB,9.00370239171899e+001°)
2.51188643150957e+000	(-3.96362600958828e+000dB,9.00361731176041e+001°)
2.57039578276886e+000	(-4.16362586746667e+000dB,9.00353414974636e+001°)
2.63026799189537e+000	(-4.36362572589641e+000dB,9.00345286158335e+001°)
2.69153480392691e+000	(-4.56362558457724e+000dB,9.00337340417147e+001°)
2.75422870333816e+000	(-4.76362544320938e+000dB,9.00329573538147e+001°)
2.81838293126444e+000	(-4.96362530149298e+000dB,9.00321981403243e+001°)
2.88403150312660e+000	(-5.16362515912743e+000dB,9.00314559986995e+001°)
2.95120922666637e+000	(-5.36362501581076e+000dB,9.00307305354481e+001°)
3.01995172040200e+000	(-5.56362487123899e+000dB,9.00300213659208e+001°)
3.09029543251358e+000	(-5.76362472510545e+000dB,9.00293281141072e+001°)
3.16227766016837e+000	(-5.96362457710017e+000dB,9.00286504124371e+001°)
3.23593656929627e+000	(-6.16362442690922e+000dB,9.00279879015847e+001°)
3.31131121482590e+000	(-6.36362427421401e+000dB,9.00273402302786e+001°)
3.38844156139201e+000	(-6.56362411869067e+000dB,9.00267070551158e+001°)
3.46736850452530e+000	(-6.76362396000931e+000dB,9.00260880403788e+001°)
3.54813389233574e+000	(-6.96362379783335e+000dB,9.00254828578585e+001°)
3.63078054770100e+000	(-7.16362363181878e+000dB,9.00248911866798e+001°)
3.71535229097171e+000	(-7.36362346161346e+000dB,9.00243127131310e+001°)
3.80189396320560e+000	(-7.56362328685638e+000dB,9.00237471304985e+001°)
3.89045144994279e+000	(-7.76362310717684e+000dB,9.00231941389033e+001°)
3.98107170553496e+000	(-7.96362292219373e+000dB,9.00226534451423e+001°)
4.07380277804111e+000	(-8.16362273151467e+000dB,9.00221247625329e+001°)
4.16869383470334e+000	(-8.36362253473520e+000dB,9.00216078107610e+001°)
4.26579518801591e+000	(-8.56362233143794e+000dB,9.00211023157323e+001°)
4.36515832240164e+000	(-8.76362212119164e+000dB,9.00206080094270e+001°)
4.46683592150961e+000	(-8.96362190355038e+000dB,9.00201246297575e+001°)
4.57088189614873e+000	(-9.16362167805248e+000dB,9.00196519204300e+001°)
4.67735141287196e+000	(-9.36362144421964e+000dB,9.00191896308079e+001°)
4.78630092322636e+000	(-9.56362120155588e+000dB,9.00187375157795e+001°)
4.89778819368444e+000	(-9.76362094954647e+000dB,9.00182953356276e+001°)
5.01187233627270e+000	(-9.96362068765687e+000dB,9.00178628559027e+001°)
5.12861383991363e+000	(-1.01636204153316e+001dB,9.00174398472986e+001°)
5.24807460249770e+000	(-1.03636201319929e+001dB,9.00170260855307e+001°)
5.37031796370250e+000	(-1.05636198370400e+001dB,9.00166213512173e+001°)
5.49540873857622e+000	(-1.07636195298470e+001dB,9.00162254297631e+001°)
5.62341325190346e+000	(-1.09636192097625e+001dB,9.00158381112455e+001°)
5.75439937337154e+000	(-1.11636188761075e+001dB,9.00154591903033e+001°)
5.88843655355586e+000	(-1.13636185281743e+001dB,9.00150884660278e+001°)
6.02559586074355e+000	(-1.15636181652249e+001dB,9.00147257418564e+001°)
6.16595001861479e+000	(-1.17636177864893e+001dB,9.00143708254679e+001°)
6.30957344480190e+000	(-1.19636173911643e+001dB,9.00140235286813e+001°)
6.45654229034652e+000	(-1.21636169784113e+001dB,9.00136836673553e+001°)
6.60693448007593e+000	(-1.23636165473548e+001dB,9.00133510612913e+001°)
6.76082975391978e+000	(-1.25636160970805e+001dB,9.00130255341372e+001°)
6.91830970918933e+000	(-1.27636156266334e+001dB,9.00127069132944e+001°)
7.07945784384134e+000	(-1.29636151350154e+001dB,9.00123950298263e+001°)
7.24435960074986e+000	(-1.31636146211839e+001dB,9.00120897183681e+001°)
7.41310241300914e+000	(-1.33636140840489e+001dB,9.00117908170399e+001°)
7.58577575029180e+000	(-1.35636135224711e+001dB,9.00114981673606e+001°)
7.76247116628688e+000	(-1.37636129352594e+001dB,9.00112116141636e+001°)
7.94328234724277e+000	(-1.39636123211681e+001dB,9.00109310055148e+001°)
8.12830516164095e+000	(-1.41636116788947e+001dB,9.00106561926322e+001°)
8.31763771102667e+000	(-1.43636110070769e+001dB,9.00103870298063e+001°)
8.51138038202372e+000	(-1.45636103042897e+001dB,9.00101233743240e+001°)
8.70963589956076e+000	(-1.47636095690424e+001dB,9.00098650863917e+001°)
8.91250938133741e+000	(-1.49636087997753e+001dB,9.00096120290622e+001°)
9.12010839355905e+000	(-1.51636079948569e+001dB,9.00093640681614e+001°)
9.33254300796986e+000	(-1.53636071525798e+001dB,9.00091210722174e+001°)
9.54992586021431e+000	(-1.55636062711573e+001dB,9.00088829123909e+001°)
9.77237220955806e+000	(-1.57636053487200e+001dB,9.00086494624068e+001°)
9.99999999999995e+000	(-1.59636043833112e+001dB,9.00084205984873e+001°)
1.02329299228075e+001	(-1.61636033728831e+001dB,9.00081961992860e+001°)
1.04712854805089e+001	(-1.63636023152926e+001dB,9.00079761458239e+001°)
1.07151930523760e+001	(-1.65636012082963e+001dB,9.00077603214263e+001°)
1.09647819614318e+001	(-1.67636000495461e+001dB,9.00075486116608e+001°)
1.12201845430196e+001	(-1.69635988365843e+001dB,9.00073409042764e+001°)
1.14815362149688e+001	(-1.71635975668380e+001dB,9.00071370891446e+001°)
1.17489755493952e+001	(-1.73635962376140e+001dB,9.00069370582005e+001°)
1.20226443461741e+001	(-1.75635948460927e+001dB,9.00067407053857e+001°)
1.23026877081237e+001	(-1.77635933893227e+001dB,9.00065479265919e+001°)
1.25892541179416e+001	(-1.79635918642139e+001dB,9.00063586196062e+001°)
1.28824955169313e+001	(-1.81635902675314e+001dB,9.00061726840561e+001°)
1.31825673855640e+001	(-1.83635885958885e+001dB,9.00059900213571e+001°)
1.34896288259165e+001	(-1.85635868457395e+001dB,9.00058105346598e+001°)
1.38038426460288e+001	(-1.87635850133720e+001dB,9.00056341287990e+001°)
1.41253754462275e+001	(-1.89635830948996e+001dB,9.00054607102429e+001°)
1.44543977074592e+001	(-1.91635810862528e+001dB,9.00052901870440e+001°)
1.47910838816820e+001	(-1.93635789831711e+001dB,9.00051224687896e+001°)
1.51356124843620e+001	(-1.95635767811938e+001dB,9.00049574665547e+001°)
1.54881661891247e+001	(-1.97635744756501e+001dB,9.00047950928542e+001°)
1.58489319246110e+001	(-1.99635720616498e+001dB,9.00046352615967e+001°)
1.62181009735892e+001	(-2.01635695340725e+001dB,9.00044778880394e+001°)
1.65958690743755e+001	(-2.03635668875571e+001dB,9.00043228887422e+001°)
1.69824365246173e+001	(-2.05635641164901e+001dB,9.00041701815243e+001°)
1.73780082874936e+001	(-2.07635612149936e+001dB,9.00040196854201e+001°)
1.77827941003891e+001	(-2.09635581769135e+001dB,9.00038713206367e+001°)
1.81970085860997e+001	(-2.11635549958058e+001dB,9.00037250085113e+001°)
1.86208713666286e+001	(-2.13635516649228e+001dB,9.00035806714695e+001°)
1.90546071796323e+001	(-2.15635481771998e+001dB,9.00034382329846e+001°)
1.94984459975803e+001	(-2.17635445252388e+001dB,9.00032976175363e+001°)
1.99526231496887e+001	(-2.19635407012938e+001dB,9.00031587505715e+001°)
2.04173794466952e+001	(-2.21635366972540e+001dB,9.00030215584640e+001°)
2.08929613085403e+001	(-2.23635325046264e+001dB,9.00028859684761e+001°)
2.13796208950222e+001	(-2.25635281145183e+001dB,9.00027519087197e+001°)
2.18776162394954e+001	(-2.27635235176180e+001dB,9.00026193081184e+001°)
2.23872113856832e+001	(-2.29635187041750e+001dB,9.00024880963696e+001°)
2.29086765276776e+001	(-2.31635136639800e+001dB,9.00023582039073e+001°)
2.34422881531991e+001	(-2.33635083863422e+001dB,9.00022295618657e+001°)
2.39883291901947e+001	(-2.35635028600676e+001dB,9.00021021020420e+001°)
2.45470891568501e+001	(-2.37634970734348e+001dB,9.00019757568605e+001°)
2.51188643150956e+001	(-2.39634910141699e+001dB,9.00018504593373e+001°)
2.57039578276885e+001	(-2.41634846694211e+001dB,9.00017261430439e+001°)
2.63026799189536e+001	(-2.43634780257310e+001dB,9.00016027420728e+001°)
2.69153480392690e+001	(-2.45634710690081e+001dB,9.00014801910022e+001°)
2.75422870333815e+001	(-2.47634637844971e+001dB,9.00013584248615e+001°)
2.81838293126443e+001	(-2.49634561567472e+001dB,9.00012373790967e+001°)
2.88403150312659e+001	(-2.51634481695801e+001dB,9.00011169895365e+001°)
2.95120922666636e+001	(-2.53634398060549e+001dB,9.00009971923579e+001°)
3.01995172040199e+001	(-2.55634310484325e+001dB,9.00008779240529e+001°)
3.09029543251357e+001	(-2.57634218781380e+001dB,9.00007591213944e+001°)
3.16227766016836e+001	(-2.59634122757214e+001dB,9.00006407214033e+001°)
3.23593656929626e+001	(-2.61634022208161e+001dB,9.00005226613143e+001°)
3.31131121482589e+001	(-2.63633916920959e+001dB,9.00004048785438e+001°)
3.38844156139200e+001	(-2.65633806672298e+001dB,9.00002873106556e+001°)
3.46736850452529e+001	(-2.67633691228345e+001dB,9.00001698953288e+001°)
3.54813389233573e+001	(-2.69633570344249e+001dB,9.00000525703244e+001°)
3.63078054770099e+001	(-2.71633443763622e+001dB,8.99999352734524e+001°)
3.71535229097170e+001	(-2.73633311217994e+001dB,8.99998179425389e+001°)
3.80189396320558e+001	(-2.75633172426247e+001dB,8.99997005153934e+001°)
3.89045144994278e+001	(-2.77633027094016e+001dB,8.99995829297757e+001°)
3.98107170553494e+001	(-2.79632874913065e+001dB,8.99994651233632e+001°)
4.07380277804110e+001	(-2.81632715560634e+001dB,8.99993470337176e+001°)
4.16869383470332e+001	(-2.83632548698757e+001dB,8.99992285982526e+001°)
4.26579518801589e+001	(-2.85632373973541e+001dB,8.99991097542000e+001°)
4.36515832240163e+001	(-2.87632191014419e+001dB,8.99989904385772e+001°)
4.46683592150960e+001	(-2.89631999433364e+001dB,8.99988705881537e+001°)
4.57088189614871e+001	(-2.91631798824065e+001dB,8.99987501394176e+001°)
4.67735141287194e+001	(-2.93631588761066e+001dB,8.99986290285423e+001°)
4.78630092322634e+001	(-2.95631368798867e+001dB,8.99985071913530e+001°)
4.89778819368442e+001	(-2.97631138470975e+001dB,8.99983845632922e+001°)
5.01187233627268e+001	(-2.99630897288917e+001dB,8.99982610793864e+001°)
5.12861383991361e+001	(-3.01630644741208e+001dB,8.99981366742115e+001°)
5.24807460249768e+001	(-3.03630380292262e+001dB,8.99980112818584e+001°)
5.37031796370248e+001	(-3.05630103381257e+001dB,8.99978848358984e+001°)
5.49540873857620e+001	(-3.07629813420951e+001dB,8.99977572693479e+001°)
5.62341325190344e+001	(-3.09629509796433e+001dB,8.99976285146338e+001°)
5.75439937337152e+001	(-3.11629191863821e+001dB,8.99974985035573e+001°)
5.88843655355584e+001	(-3.13628858948899e+001dB,8.99973671672585e+001°)
6.02559586074353e+001	(-3.15628510345685e+001dB,8.99972344361803e+001°)
6.16595001861477e+001	(-3.17628145314940e+001dB,8.99971002400313e+001°)
6.30957344480188e+001	(-3.19627763082596e+001dB,8.99969645077497e+001°)
6.45654229034650e+001	(-3.21627362838119e+001dB,8.99968271674655e+001°)
6.60693448007590e+001	(-3.23626943732793e+001dB,8.99966881464633e+001°)
6.76082975391976e+001	(-3.25626504877919e+001dB,8.99965473711437e+001°)
6.91830970918930e+001	(-3.27626045342933e+001dB,8.99964047669854e+001°)
7.07945784384132e+001	(-3.29625564153435e+001dB,8.99962602585057e+001°)
7.24435960074984e+001	(-3.31625060289129e+001dB,8.99961137692217e+001°)
7.41310241300911e+001	(-3.33624532681653e+001dB,8.99959652216095e+001°)
7.58577575029177e+001	(-3.35623980212325e+001dB,8.99958145370649e+001°)
7.76247116628685e+001	(-3.37623401709769e+001dB,8.99956616358618e+001°)
7.94328234724274e+001	(-3.39622795947436e+001dB,8.99955064371108e+001°)
8.12830516164092e+001	(-3.41622161641008e+001dB,8.99953488587170e+001°)
8.31763771102664e+001	(-3.43621497445676e+001dB,8.99951888173382e+001°)
8.51138038202369e+001	(-3.45620801953296e+001dB,8.99950262283405e+001°)
8.70963589956073e+001	(-3.47620073689404e+001dB,8.99948610057556e+001°)
8.91250938133737e+001	(-3.49619311110100e+001dB,8.99946930622356e+001°)
9.12010839355901e+001	(-3.51618512598776e+001dB,8.99945223090083e+001°)
9.33254300796982e+001	(-3.53617676462699e+001dB,8.99943486558313e+001°)
9.54992586021427e+001	(-3.55616800929423e+001dB,8.99941720109455e+001°)
9.77237220955802e+001	(-3.57615884143048e+001dB,8.99939922810281e+001°)
9.99999999999991e+001	(-3.59614924160282e+001dB,8.99938093711446e+001°)
1.02329299228074e+002	(-3.61613918946342e+001dB,8.99936231847002e+001°)
1.04712854805089e+002	(-3.63612866370643e+001dB,8.99934336233903e+001°)
1.07151930523760e+002	(-3.65611764202294e+001dB,8.99932405871508e+001°)
1.09647819614317e+002	(-3.67610610105382e+001dB,8.99930439741066e+001°)
1.12201845430195e+002	(-3.69609401634033e+001dB,8.99928436805202e+001°)
1.14815362149687e+002	(-3.71608136227242e+001dB,8.99926396007389e+001°)
1.17489755493952e+002	(-3.73606811203461e+001dB,8.99924316271416e+001°)
1.20226443461740e+002	(-3.75605423754932e+001dB,8.99922196500846e+001°)
1.23026877081237e+002	(-3.77603970941755e+001dB,8.99920035578457e+001°)
1.25892541179416e+002	(-3.79602449685677e+001dB,8.99917832365694e+001°)
1.28824955169312e+002	(-3.81600856763596e+001dB,8.99915585702087e+001°)
1.31825673855639e+002	(-3.83599188800747e+001dB,8.99913294404683e+001°)
1.34896288259164e+002	(-3.85597442263588e+001dB,8.99910957267448e+001°)
1.38038426460287e+002	(-3.87595613452334e+001dB,8.99908573060681e+001°)
1.41253754462274e+002	(-3.89593698493155e+001dB,8.99906140530393e+001°)
1.44543977074591e+002	(-3.91591693330003e+001dB,8.99903658397706e+001°)
1.47910838816819e+002	(-3.93589593716057e+001dB,8.99901125358215e+001°)
1.51356124843619e+002	(-3.95587395204773e+001dB,8.99898540081355e+001°)
1.54881661891247e+002	(-3.97585093140504e+001dB,8.99895901209758e+001°)
1.58489319246110e+002	(-3.99582682648701e+001dB,8.99893207358592e+001°)
1.62181009735891e+002	(-4.01580158625633e+001dB,8.99890457114898e+001°)
1.65958690743754e+002	(-4.03577515727650e+001dB,8.99887649036912e+001°)
1.69824365246173e+002	(-4.05574748359926e+001dB,8.99884781653382e+001°)
1.73780082874936e+002	(-4.07571850664693e+001dB,8.99881853462866e+001°)
1.77827941003890e+002	(-4.09568816508913e+001dB,8.99878862933033e+001°)
1.81970085860996e+002	(-4.11565639471385e+001dB,8.99875808499938e+001°)
1.86208713666285e+002	(-4.13562312829250e+001dB,8.99872688567299e+001°)
1.90546071796323e+002	(-4.15558829543864e+001dB,8.99869501505763e+001°)
1.94984459975802e+002	(-4.17555182246021e+001dB,8.99866245652164e+001°)
1.99526231496886e+002	(-4.19551363220480e+001dB,8.99862919308750e+001°)
2.04173794466951e+002	(-4.21547364389785e+001dB,8.99859520742439e+001°)
2.08929613085402e+002	(-4.23543177297322e+001dB,8.99856048184033e+001°)
2.13796208950221e+002	(-4.25538793089603e+001dB,8.99852499827436e+001°)
2.18776162394953e+002	(-4.27534202497718e+001dB,8.99848873828867e+001°)
2.23872113856832e+002	(-4.29529395817934e+001dB,8.99845168306052e+001°)
2.29086765276775e+002	(-4.31524362891396e+001dB,8.99841381337429e+001°)
2.34422881531990e+002	(-4.33519093082890e+001dB,8.99837510961316e+001°)
2.39883291901946e+002	(-4.35513575258625e+001dB,8.99833555175108e+001°)
2.45470891568500e+002	(-4.37507797762989e+001dB,8.99829511934435e+001°)
2.51188643150955e+002	(-4.39501748394236e+001dB,8.99825379152325e+001°)
2.57039578276884e+002	(-4.41495414379051e+001dB,8.99821154698391e+001°)
2.63026799189535e+002	(-4.43488782345952e+001dB,8.99816836397949e+001°)
2.69153480392689e+002	(-4.45481838297462e+001dB,8.99812422031207e+001°)
2.75422870333814e+002	(-4.47474567581012e+001dB,8.99807909332392e+001°)
2.81838293126442e+002	(-4.49466954858506e+001dB,8.99803295988916e+001°)
2.88403150312657e+002	(-4.51458984074496e+001dB,8.99798579640521e+001°)
2.95120922666635e+002	(-4.53450638422906e+001dB,8.99793757878422e+001°)
3.01995172040198e+002	(-4.55441900312235e+001dB,8.99788828244476e+001°)
3.09029543251356e+002	(-4.57432751329174e+001dB,8.99783788230330e+001°)
3.16227766016834e+002	(-4.59423172200577e+001dB,8.99778635276576e+001°)
3.23593656929625e+002	(-4.61413142753695e+001dB,8.99773366771944e+001°)
3.31131121482587e+002	(-4.63402641874622e+001dB,8.99767980052467e+001°)
3.38844156139199e+002	(-4.65391647464849e+001dB,8.99762472400675e+001°)
3.46736850452528e+002	(-4.67380136395870e+001dB,8.99756841044798e+001°)
3.54813389233572e+002	(-4.69368084461736e+001dB,8.99751083157998e+001°)
3.63078054770097e+002	(-4.71355466329483e+001dB,8.99745195857598e+001°)
3.71535229097168e+002	(-4.73342255487338e+001dB,8.99739176204350e+001°)
3.80189396320557e+002	(-4.75328424190604e+001dB,8.99733021201725e+001°)
3.89045144994276e+002	(-4.77313943405145e+001dB,8.99726727795221e+001°)
3.98107170553493e+002	(-4.79298782748343e+001dB,8.99720292871712e+001°)
